o	autorização/letra/caractér/carácter
compulsividade	peculiaridade/feição
candidíase	micose
comitê	ong/comité/junta/comissão/organização
alforje	bolsa/saco/carteira/sacola
draga-minas	navio/embarcação/barco
yawl	veleiro
mídia	equipamento
ilíaco	osso
estupefação	terror/consternação/temor/medo/susto
elastano	pano/fazenda/tecido
recombinante	criatura/organismo/ser/célula
chifrudo	esposo/cônjuge/varão/marido/homem
acelerómetro	metro
urease	enzima
brocha	implemento/instrumento/ferramenta
macaréu	onda/vaga
marrom	castanho/marron
trilo	nota/tom
fração	porção/parte
éxito	sucesso/prosperidade
auto-controle	controlo/firmeza/controle
pluviômetro	bitola
resecção	cirurgia/operação
desenvolvedor	creador/criador
dosimetria	medida/mensuração/medição
stupa	relicário/santuário
monofonia	música
chupão	eritema
mezanino	mezzanino/balcão/sacada
iídiche	alemão
expectorante	remédio/medicamento
risotto	prato
cd-rom	cd/cedê
chaparral	vegetação/flora
cruza-bico	tentilhão
hatchback	porta/portão
lexicologia	linguística/filologia
chocadeira	campo/terreno
quiché	maia
homem-bomba	alma/indivíduo/alguém/pessoa
endro	erva/maconha
pyrex	vidro
laosiano	asiático/asiática
flato	reflexo
bonobo	chimpanzé
sepultamento	funeral/enterro
semifusa	nota/tom
accountability	responsabilidade
tarrafa	falcão
antipapa	papa/pontífice
joão	tripulante/marujo/marinheiro
bubo	coruja/bufo/mocho/corujão
tálio	metal
quitanda	feira/mercado
espalhamento	extensão
lêndea	ovo/óvulo
feiura	semblante/aparência/aspecto
muralismo	pintura
ísquio	osso
tamargueira	arbusto/moita/mato
guzerate	hindu/indiano
olfato	olfacto
laticínio	alimento
dióspiro	fruta/fruto/baga
papoula	flor/papoila/dormideira
claustrófobo	neurótico
leucócito	corpúsculo
caminhão	camião
ossuário	recipiente
sufocamento	homicídio/assassinato/morte
laissez-passer	consentimento/consenso/autorização/aprovação/sanção
danês	europeu
córrego	oceano/água
escavador	artífice/artesão
metacarpo	esqueleto
cuscuz	massa
zoologista	biologista/biólogo
xintoismo	religião/fé
cheesecake	bolo
piazza	praça
dique_seco	doca
oxímoro	metáfora
cibercultura	cultura
pimenta-da-jamaica	tempero/condimento/especiaria
descontinuação	conclusão
dextrose	glicose/glucose
agon	festividade/celebração/festa
malacologia	zoologia
bissetriz	divisão
carotenóide	pigmento/antioxidante
kuwaiti	asiático/asiática
pentatleta	atleta
zangão	vespa/abelha/bê
gurkha	soldado/militar
penne	massa
objeção	comunicado/comunicação
palafreneiro	operário
alopécia	calvice/calvície
hemiplegia	marasmo/paralisia
pulôver	camisola/vestuário/roupa/agasalho
gastrópodes	classe/molusco
batiscafo	submarino
géiser	nascente
fosforescência	fluorescência
singapurense	asiático/asiática
coruja-do-mato	coruja/bufo/mocho/corujão
precognição	clarividência
umma	comunidade
cueiro	vestuário/roupa
retor	alto-falante/locutor/palestrante/falante
pangolim	mamífero
anelídeo	verme
micologia	botânica
orquite	inflamação
petrologia	morfologia/geomorfologia
diagnose	identificação
sidecar	veículo
flebite	inflamação
terçol	infecção
satirismo	concupiscência/cio/eros
baldaquino	toldo
ácer	madeira
analepse	transição
escrófula	tuberculose
jurisdicção	jurisdição
rocha_ígnea	rocha/pedra
escargot	vianda/carne
hemoptise	sintoma
cosmografia	ciência/representação/imagem/desenho/ilustração/figura
alopecia	alopécia
guido	desenho/efígie/imagem/figura/ilustração
carniça	corpo/progressão/defunto/morto/cadáver/avanço
densitometria	medida/mensuração/medição
guizeira	seita
tag	rótulo/etiqueta
metal_alcalino	metal
holismo	teoria
quartil	classe/nota
expletivo	expressão/profanação/enunciado/palavrão
lockout	oposição
fumante	consumidor
percal	pano/fazenda/tecido
higrómetro	metro
exército_de_salvação	ong
anticonvulsivo	remédio/medicamento
enquête	pesquisa/inquérito/investigação
botelha	vasilhame/vasilha/vaso
sesquicentenário	aniversário
pansexual	alma/indivíduo/alguém/pessoa
artroscópio	endoscópio
voltímetro	metro/contador
caquexia	debilidade/fraqueza
cagalhão	merda
focinheira	limitação/restrição
paraquedistas	infantaria
frasqueira	bagagem/mala/embrulho
túlio	metal
morfogénese	crescimento
firmware	código
atropina	peçonha/veneno/tóxico/alcalóide/contraveneno/antídoto
semibreve	nota/tom
coifa	cobertura/capa
balaço	projéctil/projétil/míssil
tacha	prego
baleia-piloto	delfim/boto/golfinho
mezzosoprano	voz
barcarola	canção/cantiga
leishmania	flagelado
pretor	jurista/magistrado/juiz
escarradeira	recipiente
hepatomegalia	anormalidade
jordaniano	asiático/asiática
transa	sentimento/emoção/impressão
cútis	estrato
freezer	geladeira/refrigerador
remição	suspensão/hiato
uracilo	nucleótido
quivi	videira/fruta/cipó/parreira
peliça	casaco/sobretudo
áspide	víbora/cobra
mórula	embrião
torah	rolo/pergaminho
rectitude	contorno
cuia	cachimbo
origami	arte
lichia	fruta
nomeador	alma/indivíduo/alguém/pessoa
hidrofobia	sintoma/zoonose
mingau	prato
fibrina	proteína
érbio	metal
nalga	anatomia
gabriel	arcanjo
catequismo	livro
germicida	agente
tiranicídio	homicídio/assassínio/assassinato
nectarina	fruta
trofoblasto	membrana
eólio	população/cidadania/gente/povo
peddy-paper	passatempo/hobby
delineador	cosmético
respingo	vapor/ruído
mesosfera	estrato/camada
coprofagia	alimentação
bulevar	rua
xácara	poema/poesia
dedilhação	posicionamento/colocação
barbeito	terra
esportivo	atleta
torá	rolo/pergaminho
tróica	carruagem
berrão	porco/suíno
fitopatologia	doença
ataraxia	serenidade
termoplástico	plástico
capitânia	barco/embarcação/navio
simonia	trânsito/tráfico/tráfego
ronrom	som/ruído
subsidência	desabamento/desmoronamento/colapso
guri	varão/macho/homem
cipó	videira/parreira
jacó	patriarca/tripulante/marujo/marinheiro
epidídimo	canal
hibridização	acasalamento/cópula/acoplamento
compania	associação/união/ordem/sociedade/organização
aerólito	meteorito/meteoróide/meteoro
paleoecologia	ecologia
pudicícia	abstinência
piche	betume
amhara	etíope
intercalação	tempo/intervalo
folha-de-flandres	revestimento
microcefalia	anormalidade
esteróides	hormona
medricas	alma/indivíduo/alguém/pessoa/covarde
borragem	erva/maconha
gendarmaria	lei/polícia
barrão	porco/suíno
meningioma	tumor/neoplasia
rack	estrutura/infra
espermacete	cera
ficante	amigo/camarada/colega/companheiro
paranoia	psicose
coalizão	estado/união/ligação/organização
harpia	águias/águia
cenotáfio	monumento
pepperoni	salsicha
vichyssoise	sopa
minestrone	sopa
importe	sentido/significado/intenção
linchagem	homicídio/assassínio/assassinato
caraterização	descrição
fungi	reino
bebê	filha/criança/menino/filho
monastério	claustro
rabada	sopa
ergotamina	alcalóide
permafrost	terra/solo
liquidificador	batedeira
zoroastrismo	religião/fé
cerúleo	azul
alpercata	calçado/sapato
lintel	viga/trave
acróstico	adivinha/enigma/charada
angolense	africano
cappuccino	café
tweeter	altifalante/alto-falante
rarefação	concentração
paralelogramo	quadrilátero
garrafada	adoçante
cassiterita	mineral
anti-hipertensivo	remédio/medicamento
solicitante	alma/indivíduo/alguém/pessoa
geek	intérprete
pot-au-feu	guisado/cozido
impostora	trapaceiro
gavinha	parte/fragmento
clorato	sal
playground	cercado/pátio/jardim/quintal
hematúria	sintoma
aciaria	fábrica/usina
elogiador	orador/interveniente/discursante/retor
epistemóloga	filósofo
prosopopeia	metáfora
white_trash	caucasiano/caucasiana/branco
ordália	julgamento/experiência
tricotilomania	mania
vaquita	boto/toninha
torquês	ferramenta/aparelho/aparato/mecanismo/instrumento/dispositivo/equipamento
serpentão	trompete/berimbau/corneta/trompa/trombeta
algodão-doce	candil/caramelo/bala
banshee	alma/espírito/fantasma
rutênio	metal
contrafagote	baixo/fagote
escombro	destruição/devastação
estado-tampão	terra/nação/país
interrelacionamento	relação/conexão
displasia	anormalidade
tração	propulsão/impulsão
etilenoglicol	anticongelante
fotômetro	metro
drift	vagabundagem
aclimação	adaptação
carnação	rosa/cor-de-rosa
albornoz	capa/manto
ostensório	vasilhame/vasilha/vaso
pentagrama	estrela
amerício	metal
interação	ação/ato/atividade
veneziana	persiana
lavanderia	trabalho/vestuário/laboratório/oficina/emprego/loja/roupa
homus	pasta
atuação	espectáculo/show/ocupação/atividade
saxônio	europeu
gosma	matéria/substância
clofibrato	remédio/medicamento
undécimo	classe/hierarquia/posição/posto
azul-petróleo	verde
tromboembolismo	oclusão
chalota	cebola/bolbo
listra	sinalização
polonês	eslavo/europeu
cafetã	vestido
bodum	aracnídeo
riço	condensação
esférula	bola/esfera/orbe
fenobarbital	barbitúrico
bratwurst	salsicha
primogenitura	patrimônio/herança/legado
raposo	trapaceiro
exogamia	conúbio/casamento/matrimónio/matrimônio/casal
eletrólito	solução/soluto
verbo_auxiliar	verbo
arrecife	cume/aresta
beep	som/ruído
nimbo	nuvem/nuvens
xará	alma/indivíduo/alguém/pessoa
mirtilo	fruta/fruto/baga/arbusto/moita/mato
bolão	aposta
conjuntiva	mucosa
gramado	campo/terreno/região/extensão
capivara	roedor
semicolcheia	nota/tom
supinação	rotação
tremonha	sargeta
tremolo	vibrato
hidromel	bebida/fermentação
macromolécula	molécula
querelante	litigante
dente-de-leão	erva/maconha
atracadouro	ancoradouro
marsúpio	bolsa/saco/carteira/sacola
biossíntese	síntese
denim	pano/fazenda/tecido
aneto	erva
vergel	jardim/horto
peneplanície	planície/campanha
procrastinação	atraso/retardar/adiar
traqueostomia	cirurgia/operação
libração	oscilação
urso-pardo	urso
lemingue	roedor
caminhoneiro	chofer/condutor/motorista/conductor
astrágalo	osso
teísta	crente
lucratividade	bem/lucro/proveito
diorito	rocha_ígnea
cúrio	metal
teofania	manifestação
lúcifer	planeta
usina	estação/posto/fábrica
default	intercorrência/opção/escolha/eleição/alternativa
estorno	cancelamento
batimetria	medida/mensuração/medição
índigo	corante/tintura/cor
divertículo	hérnia
higrômetro	metro
diapiro	formação
seitan	glúten
loteria	coincidência/acidente
serragem	madeira
suchi	prato
beguina	dance_music
cetonúria	sintoma
plagiário	gatuno/ladra/ladrão
frisbee	brinquedo/disco
hadith	tradição/hábito/costume
fenotipo	constituição/composição/estrutura
basilisco	canhão
manteigueira	prato/louça
desfiguramento	danificação/deterioração
trema	reflexo
alúmen	alumínio
tubulação	cano/canal/duto/conduto/tubo/pipeline/cachimbo
necrológio	anúncio/aviso
arnica	erva/maconha
partitivo	verbo/palavra/termo/vocábulo
culminância	fase/período
trombeteiro	tocador/instrumentista/instrumentalista/músico
poilu	soldado/militar
halal	vianda/carne
tromboflebite	flebite
aciano	flor
cuspe	secreção
chucrute	prato
drupa	fruta/fruto
sagu	amido/fécula
agnosia	encefalopatia
colecistite	inflamação
concunhado	cunhado
interceptação	pegar/pegada
mexicano-americanos	mexicano/mexicana
meloeiro	fruta
aprisco	curral
saguaro	cacto
incumbente	detentor/serventuário/funcionário
invariabilidade	regularidade
zeitgeist	tom/cara/atmosfera
citologista	biólogo/biologista
culote	calça
prolação	idioma
flip-flop	circuito
hemotórax	congestão
macaxeira	amido/fécula
broto	vegetal/departamento/divisão
azorrague	chicote/chibata
oração_subordinada	cláusula/oração
salgueiro-chorão	salgueiro/vimeiro
meta-linguagem	discurso/língua/idioma/linguagem
eufónio	tuba
acostamento	fronteira/borda/aba/limite
mem	aculturação/cultura
tantra	budismo
abelha-mestra	sota/rainha
termoquímica	química
fotómetro	metro
cético	intelectual/intelecto
ator	intérprete/artista/actor
formigão	piso
nahuatl	índia/indígena/índio
cerimônia	acontecimento/festa/ocupação/atividade
ratatouille	guisado/cozido
marshmallow	candil/caramelo/bala
grappa	brandy/cachaça/pinga/conhaque/aguardente
tirosina	aminoácido/amino-ácido
teletransporte	transferência/transporte
gandula	menino/infante/garoto/rapaz/moço/criança
criobiologia	biologia
pedra-sabão	talco
cartão-postal	cartão
mixto	trem/comboio/caminhos-de-ferro
hulheira	mina
gangue	reunião/associação/união/ordem/sociedade/organização
caimento	pecado/estilo/maneira
quenga	mulher
transportação	comércio/empresa/negócio
metrônomo	pêndulo
coalescência	unificação/junção
xógum	japonês/autocrata/ditador
oftalmia	conjuntivite
ci	semicondutor
alpe	monte/montanha
berilo	mineral
gaveteiro	alfaia/mobiliário/movéis/mobília/móvel
tecnécio	metal
turmalina	mineral
grimório	manual
malaquita	mineral
hipermédia	multimedia/multimédia
abridor	alma/indivíduo/alguém/pessoa
acalento	canção/cantiga
fitoterapia	terapia
marati	sânscrito
exponenciação	operação/cáculo
subsunção	classificação/categorização
zeugma	metáfora
transiente	oscilação/vibração
diverticulite	inflamação
milkshake	bebida
hipoplasia	displasia
permanganato	sal
abelhão	vespa/abelha/bê
vasconço	linguagem/idioma/língua
icon	símbolo/simbolo/aceno/emblema/sinal
vaga-lume	pirilampo/besouro/escaravelho
peroxidase	oxidase
cólofon	naipe/emblema
escavadeira	maquinaria/máquina
resentimento	aversão/ressentimento/repulsa/inimizade/hostilidade
jabuti	tartaruga
malote	bolsa/saco/carteira/sacola
beethoven	música
conversível	veículo/auto/viatura/automóvel/máquina/carro
iroquês	índia/indígena/índio
gim	maquinaria/álcool/máquina
arterite	inflamação
talharim	massa
cáculo	cálculo
hidroponia	pecuária/cultivo/agricultura
quipo	calculador/computador/calculista/calculadora
luthier	artífice/artesão
bioquimico	químico/boticário
musico	artista
jujuba	fruta/drupa
algaravia	tolice/insensatez/disparate/besteira
gorgolejo	som/ruído
barrister	advogado/jurista
usabilidade	utilidade
planejador	alma/indivíduo/alguém/pessoa
goma-laca	verniz
terpeno	hidrocarboneto
atopia	alergia
miocardiopatia	cardiopatia
nártex	sala/saguão/antecâmara/átrio/vestíbulo
traslado	mudança
imame	muçulmano/líder/chefe
ciborgue	máquina
inegibilidade	qualificação
endotoxina	toxina
naan	pão
passa-tempo	jogo/passatempo
brigantim	veleiro
astrobiologia	biologia
morrião	capacete
cedê	gravação
dalai-lama	lama
isolação	incomunicação/isolamento
cheeseburguer	hambúrguer/hamburger
lariço	conífera
tabelação	informação
protoctista	microorganismo/microrganismo
audiograma	figura/ilustração/desenho/imagem/representação
bioengenharia	tecnologia/engenharia
contrafação	falsificação/reprodução/cópia
blastómero	célula
espruce	conífera
vitrificação	sólido
clava	porrete/vara/pau/bastão
valva	ferramenta/aparelho/aparato/mecanismo/instrumento/dispositivo/equipamento
áugure	adivinho/adivinha
ítrio	metal
engasgo	doença/bagunça/transtorno/distúrbio
preempção	apropriação/direito
moshav	aldeia/povoado/vila
sigmóide	cólon
baldaquim	toldo
schnauzer	terrier
alpargata	alpercata/chinelo/sandália
roux	mistura
órgãos	jornal/revista/periódico
moto-contínuo	movimento
linfadenopatia	doença/patologia
zircão	mineral
heliotrópio	flor
creador	alma/indivíduo/alguém/pessoa
pertubação	efeito/incômodo/moléstia/contrariedade/influência
convexidade	contorno/sólido
loira	alma/indivíduo/alguém/pessoa
duralumínio	liga
neptúnio	metal
xingamento	ignomínia/desgraça/vergonha
íncubo	demo/sonho/demónio/diabo/cão/capeta/demônio
cisteína	aminoácido/amino-ácido
iguanodonte	dinossauro/dinossáurio
espaçonave	astronave/navio/satélite
esfigmomanómetro	manômetro
porquinho-mealheiro	continente/contentor/caixa/jarro/vaso/vasilha
ruibarbo	legume/erva/maconha/verdura/hortaliça/vegetal
monócito	leucócito
cinemática	mecânica
caçoada	humor
embreagem	acoplamento
insurgência	rebelião/insurreição/revolta
tijolo_cru	tijolo
sacarina	adoçante
protista	microorganismo/microrganismo
coaching	ocupação/trabalho/biscate/emprego
clínquer	tijolo
eletronica	física
vasculite	inflamação
páramo	planície/campanha
malhete	malho
serraria	usina/fábrica
subtotal	soma/número/montante/totalizar
inchamento	sintoma
otimista	alma/indivíduo/alguém/pessoa
aluguel	contrato/transação/acordo
autobahn	estrada/rodovia/auto-estrada/autoestrada
crevasse	fenda/racha/fissura/fresta/greta
assonância	rima
atuário	estimador/computador
polinômio	função
edito	proclamação/pregão/declaração/anúncio/anunciação/promulgação
angularidade	contorno
calibrador	metro
duto	cilindro/cano/tubo/pipeline/cachimbo/aqueduto/canal/conduto/estrada
cicio	ruído
camber	alinhamento
hora-de-ponta	hora
aborteiro	doutor/médico
batom	cosmético
